                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.72868,                0.51168,                 1.0549,                0.92052,                0.76775,                0.82986,                 0.4676,                 1.4551,                0.98532,                 1.8386,             0.00035382,             0.00035382,             0.00035382
                     79,                0.72546,                0.50101,                 1.0493,                0.90571,                 0.7771,                0.82344,                0.47748,                 1.4189,                 1.0347,                 1.8191,             0.00033967,             0.00033967,             0.00033967
                     80,                0.69826,                0.49513,                 1.0575,                0.87185,                0.76579,                0.82269,                  0.486,                 1.4267,                 1.0526,                 1.8062,             0.00032553,             0.00032553,             0.00032553
                     81,                0.72999,                0.52679,                 1.0838,                0.87155,                 0.7468,                0.80937,                0.47929,                 1.4193,                 1.0699,                 1.7788,             0.00031138,             0.00031138,             0.00031138
                     82,                0.64635,                0.45933,                 1.0171,                0.85597,                0.74368,                 0.8024,                0.47818,                 1.4105,                 1.1266,                 1.7514,             0.00029723,             0.00029723,             0.00029723
                     83,                0.69324,                0.47824,                 1.0574,                0.85786,                 0.7468,                0.79149,                0.47572,                 1.3569,                 1.1483,                 1.7026,             0.00028308,             0.00028308,             0.00028308
                     84,                0.70153,                0.46921,                  1.029,                0.83327,                 0.7165,                0.73549,                 0.4595,                 1.3585,                  1.154,                 1.6949,             0.00026894,             0.00026894,             0.00026894
                     85,                0.67861,                0.50641,                 1.0436,                0.86802,                0.73927,                0.79822,                0.47958,                 1.3386,                 1.1421,                 1.6825,             0.00025479,             0.00025479,             0.00025479
                     86,                0.73433,                0.53307,                 1.0976,                0.83209,                0.73275,                0.79718,                0.49574,                 1.3187,                 1.1015,                 1.6688,             0.00024064,             0.00024064,             0.00024064
                     87,                0.71592,                0.50269,                 1.0692,                 0.8308,                 0.7468,                0.78595,                0.50934,                 1.3018,                  1.071,                 1.6667,              0.0002265,              0.0002265,              0.0002265
                     88,                0.68295,                0.46013,                 1.0181,                0.84268,                 0.7468,                0.79634,                0.51998,                 1.3036,                  1.031,                 1.6747,             0.00021235,             0.00021235,             0.00021235
                     89,                0.65394,                0.47805,                 1.0051,                0.85482,                 0.7468,                0.80572,                0.52372,                 1.3204,                 1.0038,                 1.6753,              0.0001982,              0.0001982,              0.0001982
                     90,                0.64535,                0.45996,                 1.0061,                0.86592,                 0.7468,                0.81432,                0.51825,                 1.3411,                0.99582,                 1.6931,             0.00018406,             0.00018406,             0.00018406
                     91,                0.61076,                 0.4889,                 1.0437,                0.84285,                0.77424,                0.81254,                0.50407,                 1.3538,                0.99208,                 1.7139,             0.00016991,             0.00016991,             0.00016991
                     92,                0.59237,                0.43295,                 1.0295,                0.84569,                0.78022,                0.81042,                0.49923,                 1.3622,                0.98175,                 1.7309,             0.00015576,             0.00015576,             0.00015576
                     93,                0.59228,                0.45593,                 1.0101,                0.83888,                0.78083,                0.81523,                0.50464,                 1.3677,                0.98953,                 1.7572,             0.00014161,             0.00014161,             0.00014161
                     94,                0.57964,                 0.4236,                 1.0042,                0.84298,                 0.7711,                0.81106,                0.50674,                 1.3712,                 1.0218,                 1.7826,             0.00012747,             0.00012747,             0.00012747
                     95,                0.58073,                0.44186,                 1.0178,                0.84415,                0.76842,                0.80726,                0.50497,                 1.3618,                 1.0346,                 1.7789,             0.00011332,             0.00011332,             0.00011332
                     96,                0.58963,                0.39562,                0.98204,                0.84412,                 0.7671,                0.80169,                0.50443,                 1.3494,                 1.0379,                 1.7699,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 0.5776,                0.40695,                0.99491,                0.86684,                0.75117,                0.80442,                0.51015,                 1.3496,                 1.0497,                 1.7656,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.55833,                0.38819,                0.97174,                 0.8701,                0.75118,                0.80145,                0.50095,                  1.348,                 1.0782,                 1.7611,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.54126,                0.39213,                 0.9762,                0.88357,                 0.7468,                0.79861,                0.49232,                 1.3507,                  1.098,                 1.7637,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.54909,                0.38306,                0.98105,                0.87874,                0.75002,                0.79838,                0.48693,                 1.3517,                 1.0973,                 1.7663,             4.2584e-05,             4.2584e-05,             4.2584e-05
